order_date,day_name,Item Name,total_orders,total_price,avg_price,min_price,total_quantity_sold,total_revenue,avg_revenue
2016-03-16,Wednesday,Chapati,1,1.95,1.95,1.95,1,1.95,1.95
2016-03-16,Wednesday,Meat Samosa,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-17,Thursday,Lamb Shashlick,1,9.95,9.95,9.95,1,9.95,9.95
2016-03-17,Thursday,Tandoori Mixed Grill,1,11.95,11.95,11.95,1,11.95,11.95
2016-03-17,Thursday,Mint Sauce,1,0.5,0.5,0.5,1,0.5,0.5
2016-03-17,Thursday,Onion Chutney,1,0.5,0.5,0.5,1,0.5,0.5
2016-03-17,Thursday,Pilau Rice,1,2.95,2.95,2.95,1,2.95,2.95
2016-03-17,Thursday,Sheek Kehab,1,4.95,4.95,4.95,1,4.95,4.95
2016-03-17,Thursday,Plain Papadum,2,1.6,0.8,0.8,6,4.800000000000001,2.4
2016-03-17,Thursday,Plain Rice,1,2.95,2.95,2.95,1,2.95,2.95
2016-03-17,Thursday,Saag Rice,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-17,Thursday,Plain Naan,2,5.2,2.6,2.6,2,5.2,2.6
2016-03-17,Thursday,Keema Naan,1,2.95,2.95,2.95,1,2.95,2.95
2016-03-17,Thursday,Madras,1,7.95,7.95,7.95,1,7.95,7.95
2016-03-17,Thursday,Garlic Rice,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-17,Thursday,Garlic Naan,1,2.95,2.95,2.95,1,2.95,2.95
2016-03-17,Thursday,French Fries,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-17,Thursday,Egg Rice,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-17,Thursday,Dupiaza,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-17,Thursday,Curry,1,7.95,7.95,7.95,1,7.95,7.95
2016-03-17,Thursday,Chicken Tikka Masala,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-17,Thursday,Chicken Tikka,1,4.95,4.95,4.95,1,4.95,4.95
2016-03-17,Thursday,Chicken Chaat,1,4.95,4.95,4.95,1,4.95,4.95
2016-03-17,Thursday,Bombay Aloo,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-17,Thursday,Hazary Lamb,1,12.95,12.95,12.95,1,12.95,12.95
2016-03-18,Friday,Peshwari Naan,5,14.75,2.95,2.95,6,17.700000000000003,3.54
2016-03-18,Friday,Persian Lamb Biryani,1,10.95,10.95,10.95,1,10.95,10.95
2016-03-18,Friday,Onion Naan,1,2.95,2.95,2.95,1,2.95,2.95
2016-03-18,Friday,Onion Chutney,2,1.0,0.5,0.5,2,1.0,0.5
2016-03-18,Friday,Onion Bhajee,3,11.850000000000001,3.9500000000000006,3.95,3,11.850000000000001,3.95
2016-03-18,Friday,Meat Samosa,3,11.850000000000001,3.9500000000000006,3.95,3,11.850000000000001,3.95
2016-03-18,Friday,Mushroom Bhajee,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-18,Friday,Mixed Starter,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-18,Friday,Mint Sauce,2,1.0,0.5,0.5,2,1.0,0.5
2016-03-18,Friday,Pilau Rice,5,14.75,2.95,2.95,9,26.55,5.31
2016-03-18,Friday,Madras Sauce,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-18,Friday,Madras,5,39.75,7.95,7.95,5,39.75,7.95
2016-03-18,Friday,Mushroom Rice,5,19.75,3.95,3.95,8,31.6,6.32
2016-03-18,Friday,Plain Naan,5,13.0,2.6,2.6,5,13.0,2.6
2016-03-18,Friday,Royal Paneer,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-18,Friday,Plain Rice,5,14.75,2.95,2.95,5,14.75,2.95
2016-03-18,Friday,Prawn Karahi,1,9.95,9.95,9.95,1,9.95,9.95
2016-03-18,Friday,Prawn Puree,1,4.95,4.95,4.95,1,4.95,4.95
2016-03-18,Friday,Red Sauce,1,0.5,0.5,0.5,1,0.5,0.5
2016-03-18,Friday,Saag Aloo,3,17.85,5.95,5.95,3,17.85,5.95
2016-03-18,Friday,Saag Paneer,1,5.95,5.95,5.95,2,11.9,11.9
2016-03-18,Friday,Sheek Kehab,2,9.9,4.95,4.95,2,9.9,4.95
2016-03-18,Friday,Special Fried Rice,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-18,Friday,Stuffed Paratha,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-18,Friday,Tandoori Chicken (1/4),1,4.95,4.95,4.95,1,4.95,4.95
2016-03-18,Friday,Tandoori Chicken (Main),1,8.95,8.95,8.95,1,8.95,8.95
2016-03-18,Friday,Vegetable Biryani,1,9.95,9.95,9.95,1,9.95,9.95
2016-03-18,Friday,Vindaloo,1,7.95,7.95,7.95,1,7.95,7.95
2016-03-18,Friday,Lemonade 1.5 ltr,1,2.95,2.95,2.95,1,2.95,2.95
2016-03-18,Friday,Plain Papadum,3,2.4000000000000004,0.8000000000000002,0.8,7,5.6000000000000005,1.87
2016-03-18,Friday,Lamb Tikka Karahi,1,9.95,9.95,9.95,1,9.95,9.95
2016-03-18,Friday,Saag Rice,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-18,Friday,Lamb Tikka (Main),1,8.95,8.95,8.95,1,8.95,8.95
2016-03-18,Friday,Baingan Hari Mirch,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-18,Friday,Bhuna,2,17.9,8.95,8.95,2,17.9,8.95
2016-03-18,Friday,Bombay Aloo,3,17.85,5.95,5.95,3,17.85,5.95
2016-03-18,Friday,Cauliflower Bhajee,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-18,Friday,Chapati,1,1.95,1.95,1.95,6,11.7,11.7
2016-03-18,Friday,Chicken Biryani,1,9.95,9.95,9.95,1,9.95,9.95
2016-03-18,Friday,Lamb Tikka Chilli Masala,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-18,Friday,Chicken Pakora,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-18,Friday,Chicken Shashlick,1,9.95,9.95,9.95,1,9.95,9.95
2016-03-18,Friday,Chicken Tikka,1,4.95,4.95,4.95,1,4.95,4.95
2016-03-18,Friday,Chicken Tikka (Main),1,8.95,8.95,8.95,3,26.849999999999998,26.85
2016-03-18,Friday,Chicken Tikka Balti,1,10.95,10.95,10.95,1,10.95,10.95
2016-03-18,Friday,Chicken Tikka Biryani,2,21.9,10.95,10.95,2,21.9,10.95
2016-03-18,Friday,Chicken Tikka Chilli Masala,2,17.9,8.95,8.95,2,17.9,8.95
2016-03-18,Friday,Butter Chicken,4,39.8,9.95,9.95,4,39.8,9.95
2016-03-18,Friday,Chicken Tikka Masala,2,17.9,8.95,8.95,3,26.849999999999998,13.42
2016-03-18,Friday,Chicken Tikka Jalfrezi,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-18,Friday,Lamb Mysore,1,9.95,9.95,9.95,1,9.95,9.95
2016-03-18,Friday,Lal Mirch Lamb,1,9.95,9.95,9.95,1,9.95,9.95
2016-03-18,Friday,Korma,4,35.8,8.95,8.95,4,35.8,8.95
2016-03-18,Friday,King Prawn Shaslick,1,12.95,12.95,12.95,1,12.95,12.95
2016-03-18,Friday,King Prawn Butterfly,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-18,Friday,Kulcha Naan,2,5.9,2.95,2.95,2,5.9,2.95
2016-03-18,Friday,Keema Naan,3,8.850000000000001,2.9500000000000006,2.95,5,14.75,4.92
2016-03-18,Friday,Garlic Naan,3,8.850000000000001,2.9500000000000006,2.95,4,11.8,3.93
2016-03-18,Friday,French Fries,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-18,Friday,Dupiaza,2,17.9,8.95,8.95,2,17.9,8.95
2016-03-18,Friday,Dall Samba,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-18,Friday,Keema Rice,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-18,Friday,Curry,1,7.95,7.95,7.95,1,7.95,7.95
2016-03-19,Saturday,Pilau Rice,4,11.8,2.95,2.95,5,14.75,3.69
2016-03-19,Saturday,Peshwari Naan,1,2.95,2.95,2.95,1,2.95,2.95
2016-03-19,Saturday,Paneer Tikka Masala,3,26.849999999999998,8.95,8.95,3,26.849999999999998,8.95
2016-03-19,Saturday,Onion Chutney,2,1.0,0.5,0.5,3,1.5,0.75
2016-03-19,Saturday,Mint Sauce,1,0.5,0.5,0.5,3,1.5,1.5
2016-03-19,Saturday,Mushroom Rice,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-19,Saturday,Meat Samosa,2,7.9,3.95,3.95,2,7.9,3.95
2016-03-19,Saturday,Plain Naan,3,7.800000000000001,2.6,2.6,3,7.800000000000001,2.6
2016-03-19,Saturday,Masala Sauce,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-19,Saturday,Onion Bhajee,4,15.8,3.95,3.95,4,15.8,3.95
2016-03-19,Saturday,Plain Papadum,2,1.6,0.8,0.8,5,4.0,2.0
2016-03-19,Saturday,Tandoori King Prawn Garlic,1,12.95,12.95,12.95,1,12.95,12.95
2016-03-19,Saturday,Red Sauce,1,0.5,0.5,0.5,1,0.5,0.5
2016-03-19,Saturday,Saag Bhajee,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-19,Saturday,Saag Paneer,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-19,Saturday,Sheek Kehab,1,4.95,4.95,4.95,1,4.95,4.95
2016-03-19,Saturday,Special Fried Rice,3,11.850000000000001,3.9500000000000006,3.95,3,11.850000000000001,3.95
2016-03-19,Saturday,Tandoori King Prawn Masala,1,12.95,12.95,12.95,1,12.95,12.95
2016-03-19,Saturday,Vegetable Karahi,1,8.95,8.95,8.95,1,8.95,8.95
2016-03-19,Saturday,Vegetable Rice,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-19,Saturday,Vegetable Roll,1,4.95,4.95,4.95,1,4.95,4.95
2016-03-19,Saturday,Lime Pickle,1,0.5,0.5,0.5,1,0.5,0.5
2016-03-19,Saturday,Plain Rice,1,2.95,2.95,2.95,1,2.95,2.95
2016-03-19,Saturday,Lemonade 1.5 ltr,1,2.95,2.95,2.95,1,2.95,2.95
2016-03-19,Saturday,Curry Sauce,1,3.95,3.95,3.95,1,3.95,3.95
2016-03-19,Saturday,Lamb Biryani,1,9.95,9.95,9.95,1,9.95,9.95
2016-03-19,Saturday,Aloo Gobi,1,5.95,5.95,5.95,1,5.95,5.95
2016-03-19,Saturday,Bombay Aloo,4,23.8,5.95,5.95,4,23.8,5.95
2016-03-19,Saturday,Butter Chicken,2,19.9,9.95,9.95,2,19.9,9.95
2016-03-19,Saturday,COBRA (660ML),1,5.95,5.95,5.95,2,11.9,11.9
